Date,Category,Description,Amount,Payment_Method,Merchant
2024-05-21,Shopping,Bookstore Purchase,5777.63,Debit Card,Bookstore Store
2024-05-21,Food & Dining,Local Diner Dinner,3386.4,Upi / Net Banking,Local Store
2024-05-21,Shopping,Bookstore Purchase,11060.58,Upi / Net Banking,Bookstore Store
2024-05-22,Food & Dining,Chipotle Bowl,3696.82,Credit Card,Chipotle Store
2024-05-22,Transportation,Gas Station Refill,3488.49,Cash,Gas Store
2024-05-22,Food & Dining,Chipotle Bowl,1287.33,Credit Card,Chipotle Store
2024-05-23,Food & Dining,Bakery Snacks,3641.21,Debit Card,Bakery Store
2024-05-23,Food & Dining,Bakery Snacks,945.37,Cash,Bakery Store
2024-05-23,Food & Dining,Subway Lunch,3680.22,Cash,Subway Store
2024-05-23,Transportation,City Parking Meter,2080.81,Credit Card,City Store
2024-05-23,Food & Dining,Starbucks Coffee,3474.38,Debit Card,Starbucks Store
2024-05-24,Groceries,Walmart Supercenter,11928.76,Upi / Net Banking,Walmart Store
2024-05-24,Food & Dining,Starbucks Coffee,1614.35,Cash,Starbucks Store
2024-05-24,Food & Dining,Bakery Snacks,2047.61,Debit Card,Bakery Store
2024-05-24,Transportation,City Parking Meter,3920.92,Cash,City Store
2024-05-25,Groceries,Whole Foods Market,8049.34,Credit Card,Whole Store
2024-05-26,Healthcare,Vision Clinic Eyeglasses,4896.17,Credit Card,Vision Store
2024-05-26,Shopping,Clothing Purchase,3438.69,Debit Card,Clothing Store
2024-05-26,Food & Dining,Local Diner Dinner,895.57,Upi / Net Banking,Local Store
2024-05-27,Food & Dining,Bakery Snacks,2659.32,Credit Card,Bakery Store
2024-05-27,Food & Dining,Local Diner Dinner,2307.4,Cash,Local Store
2024-05-28,Transportation,Gas Station Refill,4700.29,Cash,Gas Store
2024-05-29,Food & Dining,Subway Lunch,703.84,Credit Card,Subway Store
2024-05-29,Groceries,Target Groceries,6533.76,Upi / Net Banking,Target Store
2024-05-29,Groceries,Walmart Supercenter,14482.67,Credit Card,Walmart Store
2024-05-30,Food & Dining,Subway Lunch,1455.82,Cash,Subway Store
2024-05-30,Food & Dining,Subway Lunch,1444.2,Debit Card,Subway Store
2024-05-31,Groceries,Whole Foods Market,12795.28,Upi / Net Banking,Whole Store
2024-05-31,Transportation,Uber Ride,1996.15,Cash,Uber Store
2024-05-31,Transportation,Uber Ride,5203.27,Credit Card,Uber Store
2024-06-01,Food & Dining,Local Diner Dinner,863.2,Cash,Local Store
2024-06-01,Housing & Rent,Monthly Apartment Rent,106733.02,Upi / Net Banking,Oakridge Apartments
2024-06-02,Shopping,Clothing Purchase,5749.41,Upi / Net Banking,Clothing Store
2024-06-02,Shopping,Clothing Purchase,4681.2,Credit Card,Clothing Store
2024-06-02,Groceries,Whole Foods Market,11974.41,Debit Card,Whole Store
2024-06-02,Food & Dining,Chipotle Bowl,2991.32,Credit Card,Chipotle Store
2024-06-04,Groceries,Whole Foods Market,9655.39,Debit Card,Whole Store
2024-06-04,Transportation,Gas Station Refill,2163.81,Upi / Net Banking,Gas Store
2024-06-04,Healthcare,Vision Clinic Eyeglasses,7862.59,Cash,Vision Store
2024-06-05,Entertainment,Fiber Internet & Streaming Subscription,5525.31,Credit Card,NetSpeed Telecom
2024-06-05,Food & Dining,Starbucks Coffee,1620.99,Credit Card,Starbucks Store
2024-06-05,Shopping,Home Depot Tools,4222.21,Upi / Net Banking,Home Store
2024-06-06,Groceries,Trader Joes Groceries,7552.17,Credit Card,Trader Store
2024-06-06,Healthcare,CVS Pharmacy Medicines,8475.13,Credit Card,CVS Store
2024-06-06,Groceries,Whole Foods Market,4773.33,Debit Card,Whole Store
2024-06-06,Transportation,Gas Station Refill,4540.93,Cash,Gas Store
2024-06-06,Shopping,Amazon Electronics,5145.17,Debit Card,Amazon Store
2024-06-06,Shopping,Bookstore Purchase,7948.08,Debit Card,Bookstore Store
2024-06-06,Food & Dining,Subway Lunch,1573.68,Debit Card,Subway Store
2024-06-06,Transportation,Uber Ride,4611.48,Cash,Uber Store
2024-06-06,Food & Dining,Chipotle Bowl,3105.86,Upi / Net Banking,Chipotle Store
2024-06-07,Transportation,City Parking Meter,4625.59,Credit Card,City Store
2024-06-07,Groceries,Whole Foods Market,6336.22,Credit Card,Whole Store
2024-06-08,Food & Dining,Chipotle Bowl,2797.93,Cash,Chipotle Store
2024-06-08,Groceries,Whole Foods Market,5512.86,Credit Card,Whole Store
2024-06-08,Transportation,City Parking Meter,2629.44,Credit Card,City Store
2024-06-08,Food & Dining,Local Diner Dinner,912.17,Cash,Local Store
2024-06-08,Food & Dining,Chipotle Bowl,3124.12,Cash,Chipotle Store
2024-06-08,Travel,International Vacation Booking,199200.0,Debit Card,Whole Store
2024-06-09,Healthcare,Vision Clinic Eyeglasses,7020.14,Credit Card,Vision Store
2024-06-09,Food & Dining,Chipotle Bowl,1184.41,Credit Card,Chipotle Store
2024-06-09,Transportation,Gas Station Refill,4163.28,Upi / Net Banking,Gas Store
2024-06-10,Groceries,Walmart Supercenter,5233.15,Credit Card,Walmart Store
2024-06-10,Travel,Weekend Hotel Stay,30037.7,Credit Card,Weekend Store
2024-06-11,Transportation,Metro Monthly Pass,4982.49,Cash,Metro Store
2024-06-11,Shopping,Bookstore Purchase,11429.1,Upi / Net Banking,Bookstore Store
2024-06-11,Transportation,Gas Station Refill,1672.45,Upi / Net Banking,Gas Store
2024-06-11,Food & Dining,Chipotle Bowl,3032.82,Credit Card,Chipotle Store
2024-06-12,Shopping,Amazon Electronics,8507.5,Upi / Net Banking,Amazon Store
2024-06-12,Transportation,City Parking Meter,3082.62,Debit Card,City Store
2024-06-13,Food & Dining,Chipotle Bowl,2449.33,Credit Card,Chipotle Store
2024-06-13,Food & Dining,Bakery Snacks,1912.32,Upi / Net Banking,Bakery Store
2024-06-14,Groceries,Target Groceries,10539.34,Credit Card,Target Store
2024-06-14,Groceries,Target Groceries,8617.06,Upi / Net Banking,Target Store
2024-06-15,Food & Dining,Chipotle Bowl,1427.6,Upi / Net Banking,Chipotle Store
2024-06-15,Utilities,Electric & Water Utility Bill,9944.23,Credit Card,City Power & Water
2024-06-15,Groceries,Walmart Supercenter,10951.02,Upi / Net Banking,Walmart Store
2024-06-15,Travel,Train Ticket Booking,11764.42,Credit Card,Train Store
2024-06-16,Food & Dining,Subway Lunch,2508.26,Credit Card,Subway Store
2024-06-16,Healthcare,Vision Clinic Eyeglasses,4827.28,Credit Card,Vision Store
2024-06-16,Shopping,Clothing Purchase,9759.97,Credit Card,Clothing Store
2024-06-17,Groceries,Walmart Supercenter,13023.53,Credit Card,Walmart Store
2024-06-20,Food & Dining,Subway Lunch,1654.19,Debit Card,Subway Store
2024-06-20,Transportation,City Parking Meter,3178.07,Credit Card,City Store
2024-06-21,Transportation,Metro Monthly Pass,1460.8,Cash,Metro Store
2024-06-21,Food & Dining,Local Diner Dinner,2660.15,Cash,Local Store
2024-06-21,Transportation,City Parking Meter,1534.67,Credit Card,City Store
2024-06-23,Healthcare,Dental Checkup,3481.85,Debit Card,Dental Store
2024-06-23,Food & Dining,Subway Lunch,2274.2,Cash,Subway Store
2024-06-24,Shopping,Home Depot Tools,5038.93,Debit Card,Home Store
2024-06-24,Food & Dining,Subway Lunch,1959.63,Credit Card,Subway Store
2024-06-24,Food & Dining,Bakery Snacks,1574.51,Debit Card,Bakery Store
2024-06-24,Food & Dining,Local Diner Dinner,2226.89,Debit Card,Local Store
2024-06-24,Shopping,Bookstore Purchase,5462.23,Credit Card,Bookstore Store
2024-06-25,Food & Dining,Chipotle Bowl,2099.07,Cash,Chipotle Store
2024-06-25,Food & Dining,Chipotle Bowl,1931.41,Debit Card,Chipotle Store
2024-06-25,Food & Dining,Bakery Snacks,859.05,Credit Card,Bakery Store
2024-06-26,Groceries,Trader Joes Groceries,10992.52,Upi / Net Banking,Trader Store
2024-06-26,Food & Dining,Subway Lunch,2348.9,Debit Card,Subway Store
2024-06-26,Shopping,Home Depot Tools,10028.89,Upi / Net Banking,Home Store
2024-06-26,Transportation,Uber Ride,3720.89,Upi / Net Banking,Uber Store
2024-06-26,Food & Dining,Chipotle Bowl,2639.4,Credit Card,Chipotle Store
2024-06-27,Food & Dining,Starbucks Coffee,2194.52,Debit Card,Starbucks Store
2024-06-27,Food & Dining,Chipotle Bowl,3554.89,Upi / Net Banking,Chipotle Store
2024-06-28,Transportation,Gas Station Refill,2963.1,Cash,Gas Store
2024-06-30,Food & Dining,Starbucks Coffee,1684.07,Debit Card,Starbucks Store
2024-06-30,Transportation,Gas Station Refill,3680.22,Cash,Gas Store
2024-07-01,Transportation,Uber Ride,2632.76,Upi / Net Banking,Uber Store
2024-07-01,Transportation,Gas Station Refill,1584.47,Credit Card,Gas Store
2024-07-01,Transportation,Uber Ride,1386.1,Cash,Uber Store
2024-07-01,Housing & Rent,Monthly Apartment Rent,106015.9,Upi / Net Banking,Oakridge Apartments
2024-07-04,Groceries,Trader Joes Groceries,7078.24,Upi / Net Banking,Trader Store
2024-07-05,Food & Dining,Chipotle Bowl,3578.96,Upi / Net Banking,Chipotle Store
2024-07-05,Entertainment,Fiber Internet & Streaming Subscription,6003.39,Credit Card,NetSpeed Telecom
2024-07-05,Food & Dining,Chipotle Bowl,2854.37,Upi / Net Banking,Chipotle Store
2024-07-05,Food & Dining,Starbucks Coffee,3662.79,Cash,Starbucks Store
2024-07-06,Transportation,Metro Monthly Pass,2994.64,Cash,Metro Store
2024-07-06,Healthcare,Dental Checkup,4594.05,Cash,Dental Store
2024-07-06,Groceries,Target Groceries,9179.8,Upi / Net Banking,Target Store
2024-07-07,Transportation,Uber Ride,3232.02,Upi / Net Banking,Uber Store
2024-07-07,Shopping,Bookstore Purchase,10919.48,Debit Card,Bookstore Store
2024-07-08,Food & Dining,Bakery Snacks,3240.32,Debit Card,Bakery Store
2024-07-08,Healthcare,Vision Clinic Eyeglasses,8599.63,Credit Card,Vision Store
2024-07-08,Transportation,Metro Monthly Pass,5256.39,Credit Card,Metro Store
2024-07-08,Food & Dining,Subway Lunch,1960.46,Debit Card,Subway Store
2024-07-09,Food & Dining,Subway Lunch,3044.44,Debit Card,Subway Store
2024-07-10,Groceries,Trader Joes Groceries,6601.82,Credit Card,Trader Store
2024-07-10,Shopping,Home Depot Tools,10144.26,Upi / Net Banking,Home Store
2024-07-10,Healthcare,Vision Clinic Eyeglasses,1635.93,Cash,Vision Store
2024-07-10,Healthcare,Dental Checkup,4702.78,Debit Card,Dental Store
2024-07-11,Groceries,Trader Joes Groceries,10120.19,Upi / Net Banking,Trader Store
2024-07-12,Groceries,Trader Joes Groceries,9500.18,Debit Card,Trader Store
2024-07-13,Food & Dining,Local Diner Dinner,3214.59,Credit Card,Local Store
2024-07-14,Transportation,Gas Station Refill,2804.57,Upi / Net Banking,Gas Store
2024-07-14,Groceries,Walmart Supercenter,8936.61,Debit Card,Walmart Store
2024-07-14,Transportation,Gas Station Refill,2424.43,Cash,Gas Store
2024-07-14,Food & Dining,Subway Lunch,2803.74,Credit Card,Subway Store
2024-07-15,Utilities,Electric & Water Utility Bill,9447.06,Credit Card,City Power & Water
2024-07-16,Food & Dining,Starbucks Coffee,3437.86,Cash,Starbucks Store
2024-07-16,Transportation,Uber Ride,5085.41,Upi / Net Banking,Uber Store
2024-07-16,Food & Dining,Chipotle Bowl,3439.52,Debit Card,Chipotle Store
2024-07-16,Transportation,Metro Monthly Pass,4690.33,Upi / Net Banking,Metro Store
2024-07-16,Transportation,City Parking Meter,3178.9,Upi / Net Banking,City Store
2024-07-17,Transportation,Uber Ride,1225.91,Cash,Uber Store
2024-07-18,Food & Dining,Subway Lunch,3573.15,Cash,Subway Store
2024-07-19,Shopping,Amazon Electronics,2011.92,Upi / Net Banking,Amazon Store
2024-07-19,Food & Dining,Starbucks Coffee,1931.41,Credit Card,Starbucks Store
2024-07-19,Food & Dining,Local Diner Dinner,1679.92,Cash,Local Store
2024-07-19,Travel,Weekend Hotel Stay,9348.29,Credit Card,Weekend Store
2024-07-19,Food & Dining,Subway Lunch,2120.65,Credit Card,Subway Store
2024-07-19,Shopping,Bookstore Purchase,4110.99,Upi / Net Banking,Bookstore Store
2024-07-20,Groceries,Target Groceries,3018.71,Credit Card,Target Store
2024-07-20,Food & Dining,Local Diner Dinner,2499.96,Cash,Local Store
2024-07-20,Groceries,Walmart Supercenter,4014.71,Debit Card,Walmart Store
2024-07-20,Transportation,Gas Station Refill,1729.72,Cash,Gas Store
2024-07-20,Food & Dining,Starbucks Coffee,3246.13,Debit Card,Starbucks Store
2024-07-21,Food & Dining,Local Diner Dinner,890.59,Upi / Net Banking,Local Store
2024-07-21,Transportation,City Parking Meter,3393.87,Upi / Net Banking,City Store
2024-07-22,Groceries,Target Groceries,13913.29,Debit Card,Target Store
2024-07-23,Food & Dining,Chipotle Bowl,2444.35,Upi / Net Banking,Chipotle Store
2024-07-24,Transportation,City Parking Meter,3516.71,Debit Card,City Store
2024-07-24,Groceries,Walmart Supercenter,8802.15,Upi / Net Banking,Walmart Store
2024-07-25,Groceries,Walmart Supercenter,12670.78,Credit Card,Walmart Store
2024-07-25,Groceries,Trader Joes Groceries,5297.06,Credit Card,Trader Store
2024-07-26,Food & Dining,Chipotle Bowl,3293.44,Debit Card,Chipotle Store
2024-07-26,Food & Dining,Bakery Snacks,1352.9,Credit Card,Bakery Store
2024-07-26,Groceries,Whole Foods Market,14155.65,Debit Card,Whole Store
2024-07-27,Groceries,Target Groceries,8303.32,Debit Card,Target Store
2024-07-27,Transportation,Gas Station Refill,1886.59,Debit Card,Gas Store
2024-07-28,Food & Dining,Starbucks Coffee,3384.74,Debit Card,Starbucks Store
2024-07-28,Healthcare,Vision Clinic Eyeglasses,9204.7,Credit Card,Vision Store
2024-07-28,Groceries,Trader Joes Groceries,14410.46,Upi / Net Banking,Trader Store
2024-07-28,Food & Dining,Chipotle Bowl,2929.07,Credit Card,Chipotle Store
2024-07-30,Food & Dining,Starbucks Coffee,2924.92,Cash,Starbucks Store
2024-07-30,Food & Dining,Starbucks Coffee,2749.79,Upi / Net Banking,Starbucks Store
2024-07-31,Food & Dining,Bakery Snacks,1497.32,Credit Card,Bakery Store
2024-07-31,Transportation,Uber Ride,4521.84,Credit Card,Uber Store
2024-08-01,Food & Dining,Chipotle Bowl,2387.91,Upi / Net Banking,Chipotle Store
2024-08-01,Food & Dining,Chipotle Bowl,2048.44,Debit Card,Chipotle Store
2024-08-01,Housing & Rent,Monthly Apartment Rent,107431.88,Upi / Net Banking,Oakridge Apartments
2024-08-01,Groceries,Whole Foods Market,4124.27,Credit Card,Whole Store
2024-08-01,Groceries,Trader Joes Groceries,6692.29,Debit Card,Trader Store
2024-08-01,Shopping,Home Depot Tools,3870.29,Credit Card,Home Store
2024-08-02,Food & Dining,Chipotle Bowl,1308.91,Upi / Net Banking,Chipotle Store
2024-08-03,Food & Dining,Subway Lunch,2959.78,Debit Card,Subway Store
2024-08-03,Groceries,Whole Foods Market,2962.27,Debit Card,Whole Store
2024-08-03,Shopping,Bookstore Purchase,7829.39,Credit Card,Bookstore Store
2024-08-03,Transportation,Uber Ride,3547.42,Upi / Net Banking,Uber Store
2024-08-04,Food & Dining,Bakery Snacks,3413.79,Credit Card,Bakery Store
2024-08-04,Groceries,Trader Joes Groceries,14212.09,Upi / Net Banking,Trader Store
2024-08-04,Transportation,Uber Ride,2175.43,Credit Card,Uber Store
2024-08-04,Food & Dining,Bakery Snacks,2977.21,Debit Card,Bakery Store
2024-08-05,Food & Dining,Subway Lunch,2173.77,Upi / Net Banking,Subway Store
2024-08-05,Food & Dining,Bakery Snacks,1091.45,Debit Card,Bakery Store
2024-08-05,Entertainment,Fiber Internet & Streaming Subscription,4804.04,Credit Card,NetSpeed Telecom
2024-08-06,Transportation,Metro Monthly Pass,4022.18,Cash,Metro Store
2024-08-07,Food & Dining,Bakery Snacks,3656.15,Cash,Bakery Store
2024-08-07,Food & Dining,Bakery Snacks,1073.19,Upi / Net Banking,Bakery Store
2024-08-07,Food & Dining,Subway Lunch,2939.86,Cash,Subway Store
2024-08-07,Transportation,Uber Ride,2295.78,Cash,Uber Store
2024-08-07,Shopping,Amazon Electronics,2020.22,Credit Card,Amazon Store
2024-08-09,Groceries,Walmart Supercenter,4096.05,Debit Card,Walmart Store
2024-08-09,Food & Dining,Bakery Snacks,1429.26,Credit Card,Bakery Store
2024-08-10,Shopping,Home Depot Tools,3410.47,Upi / Net Banking,Home Store
2024-08-10,Food & Dining,Subway Lunch,3520.03,Debit Card,Subway Store
2024-08-10,Food & Dining,Local Diner Dinner,2425.26,Upi / Net Banking,Local Store
2024-08-10,Groceries,Target Groceries,8895.94,Debit Card,Target Store
2024-08-11,Transportation,City Parking Meter,4515.2,Upi / Net Banking,City Store
2024-08-11,Food & Dining,Starbucks Coffee,1821.02,Debit Card,Starbucks Store
2024-08-11,Groceries,Walmart Supercenter,8069.26,Debit Card,Walmart Store
2024-08-11,Food & Dining,Local Diner Dinner,991.85,Credit Card,Local Store
2024-08-11,Groceries,Walmart Supercenter,10073.71,Credit Card,Walmart Store
2024-08-12,Food & Dining,Chipotle Bowl,1491.51,Cash,Chipotle Store
2024-08-12,Groceries,Whole Foods Market,11922.12,Debit Card,Whole Store
2024-08-12,Healthcare,Dental Checkup,4042.93,Credit Card,Dental Store
2024-08-13,Groceries,Target Groceries,3316.68,Upi / Net Banking,Target Store
2024-08-13,Groceries,Walmart Supercenter,5467.21,Credit Card,Walmart Store
2024-08-13,Groceries,Target Groceries,5840.71,Debit Card,Target Store
2024-08-14,Shopping,Amazon Electronics,4939.33,Debit Card,Amazon Store
2024-08-15,Utilities,Electric & Water Utility Bill,11288.83,Credit Card,City Power & Water
2024-08-16,Food & Dining,Subway Lunch,3620.46,Upi / Net Banking,Subway Store
2024-08-16,Transportation,Metro Monthly Pass,1703.16,Debit Card,Metro Store
2024-08-16,Groceries,Walmart Supercenter,6683.99,Credit Card,Walmart Store
2024-08-16,Transportation,Uber Ride,4379.91,Debit Card,Uber Store
2024-08-17,Transportation,Uber Ride,1004.3,Upi / Net Banking,Uber Store
2024-08-18,Transportation,City Parking Meter,1557.91,Cash,City Store
2024-08-18,Transportation,Metro Monthly Pass,3179.73,Credit Card,Metro Store
2024-08-18,Food & Dining,Subway Lunch,1020.07,Upi / Net Banking,Subway Store
2024-08-19,Transportation,Gas Station Refill,3027.84,Cash,Gas Store
2024-08-19,Groceries,Walmart Supercenter,3257.75,Credit Card,Walmart Store
2024-08-19,Shopping,Amazon Electronics,8471.81,Credit Card,Amazon Store
2024-08-19,Transportation,Uber Ride,4625.59,Upi / Net Banking,Uber Store
2024-08-20,Groceries,Walmart Supercenter,4251.26,Debit Card,Walmart Store
2024-08-20,Groceries,Target Groceries,12667.46,Upi / Net Banking,Target Store
2024-08-20,Healthcare,CVS Pharmacy Medicines,8362.25,Credit Card,CVS Store
2024-08-20,Food & Dining,Starbucks Coffee,2800.42,Upi / Net Banking,Starbucks Store
2024-08-20,Food & Dining,Bakery Snacks,3515.05,Credit Card,Bakery Store
2024-08-20,Food & Dining,Local Diner Dinner,1297.29,Debit Card,Local Store
2024-08-20,Food & Dining,Bakery Snacks,2136.42,Cash,Bakery Store
2024-08-21,Transportation,Gas Station Refill,4691.16,Cash,Gas Store
2024-08-22,Food & Dining,Chipotle Bowl,1023.39,Cash,Chipotle Store
2024-08-23,Food & Dining,Starbucks Coffee,2447.67,Cash,Starbucks Store
2024-08-23,Food & Dining,Chipotle Bowl,1826.83,Credit Card,Chipotle Store
2024-08-24,Groceries,Trader Joes Groceries,10243.86,Upi / Net Banking,Trader Store
2024-08-25,Transportation,Metro Monthly Pass,1790.31,Cash,Metro Store
2024-08-25,Groceries,Target Groceries,11553.6,Credit Card,Target Store
2024-08-25,Food & Dining,Chipotle Bowl,2298.27,Credit Card,Chipotle Store
2024-08-26,Food & Dining,Bakery Snacks,1212.63,Credit Card,Bakery Store
2024-08-26,Food & Dining,Starbucks Coffee,3023.69,Credit Card,Starbucks Store
2024-08-26,Food & Dining,Chipotle Bowl,3491.81,Credit Card,Chipotle Store
2024-08-27,Food & Dining,Starbucks Coffee,1127.14,Upi / Net Banking,Starbucks Store
2024-08-29,Groceries,Walmart Supercenter,4857.16,Upi / Net Banking,Walmart Store
2024-08-30,Groceries,Walmart Supercenter,4303.55,Upi / Net Banking,Walmart Store
2024-08-31,Food & Dining,Starbucks Coffee,3315.85,Debit Card,Starbucks Store
2024-09-01,Housing & Rent,Monthly Apartment Rent,106770.37,Upi / Net Banking,Oakridge Apartments
2024-09-01,Transportation,Metro Monthly Pass,2136.42,Debit Card,Metro Store
2024-09-01,Groceries,Walmart Supercenter,6259.86,Upi / Net Banking,Walmart Store
2024-09-02,Transportation,Gas Station Refill,2138.91,Debit Card,Gas Store
2024-09-04,Transportation,Metro Monthly Pass,5233.98,Upi / Net Banking,Metro Store
2024-09-05,Transportation,Uber Ride,3238.66,Upi / Net Banking,Uber Store
2024-09-05,Entertainment,Fiber Internet & Streaming Subscription,4917.75,Credit Card,NetSpeed Telecom
2024-09-06,Food & Dining,Chipotle Bowl,2209.46,Credit Card,Chipotle Store
2024-09-07,Food & Dining,Starbucks Coffee,2475.89,Upi / Net Banking,Starbucks Store
2024-09-08,Food & Dining,Chipotle Bowl,3050.25,Debit Card,Chipotle Store
2024-09-08,Food & Dining,Subway Lunch,1740.51,Debit Card,Subway Store
2024-09-09,Food & Dining,Subway Lunch,1943.86,Credit Card,Subway Store
2024-09-09,Food & Dining,Bakery Snacks,1347.92,Credit Card,Bakery Store
2024-09-10,Food & Dining,Subway Lunch,1715.61,Debit Card,Subway Store
2024-09-10,Food & Dining,Local Diner Dinner,2378.78,Cash,Local Store
2024-09-10,Transportation,City Parking Meter,3971.55,Debit Card,City Store
2024-09-10,Food & Dining,Chipotle Bowl,1806.91,Credit Card,Chipotle Store
2024-09-11,Shopping,Home Depot Tools,7392.81,Debit Card,Home Store
2024-09-11,Food & Dining,Chipotle Bowl,2269.22,Upi / Net Banking,Chipotle Store
2024-09-11,Food & Dining,Bakery Snacks,2491.66,Credit Card,Bakery Store
2024-09-12,Food & Dining,Starbucks Coffee,2003.62,Cash,Starbucks Store
2024-09-12,Transportation,Metro Monthly Pass,1652.53,Debit Card,Metro Store
2024-09-13,Groceries,Trader Joes Groceries,13294.11,Upi / Net Banking,Trader Store
2024-09-14,Groceries,Target Groceries,4490.3,Credit Card,Target Store
2024-09-14,Healthcare,Vision Clinic Eyeglasses,6875.72,Debit Card,Vision Store
2024-09-14,Transportation,Uber Ride,4010.56,Cash,Uber Store
2024-09-15,Groceries,Target Groceries,6973.66,Credit Card,Target Store
2024-09-15,Food & Dining,Chipotle Bowl,1945.52,Credit Card,Chipotle Store
2024-09-15,Utilities,Electric & Water Utility Bill,11342.78,Credit Card,City Power & Water
2024-09-16,Transportation,Metro Monthly Pass,2002.79,Credit Card,Metro Store
2024-09-16,Travel,Train Ticket Booking,7837.69,Upi / Net Banking,Train Store
2024-09-17,Transportation,Gas Station Refill,4649.66,Cash,Gas Store
2024-09-18,Shopping,Home Depot Tools,8746.54,Credit Card,Home Store
2024-09-18,Shopping,Clothing Purchase,4404.81,Credit Card,Clothing Store
2024-09-18,Travel,Flight Ticket Deposit,11156.03,Credit Card,Flight Store
2024-09-18,Groceries,Whole Foods Market,6122.08,Upi / Net Banking,Whole Store
2024-09-18,Groceries,Target Groceries,12171.12,Credit Card,Target Store
2024-09-19,Groceries,Whole Foods Market,12891.56,Upi / Net Banking,Whole Store
2024-09-19,Groceries,Trader Joes Groceries,9298.49,Credit Card,Trader Store
2024-09-19,Shopping,Bookstore Purchase,10908.69,Upi / Net Banking,Bookstore Store
2024-09-20,Food & Dining,Bakery Snacks,1498.15,Cash,Bakery Store
2024-09-20,Transportation,Gas Station Refill,3603.86,Upi / Net Banking,Gas Store
2024-09-20,Groceries,Walmart Supercenter,8061.79,Credit Card,Walmart Store
2024-09-22,Groceries,Target Groceries,12536.32,Credit Card,Target Store
2024-09-22,Transportation,Uber Ride,1251.64,Upi / Net Banking,Uber Store
2024-09-23,Groceries,Whole Foods Market,4862.14,Debit Card,Whole Store
2024-09-23,Food & Dining,Chipotle Bowl,1756.28,Credit Card,Chipotle Store
2024-09-23,Shopping,Bookstore Purchase,3674.41,Credit Card,Bookstore Store
2024-09-23,Food & Dining,Starbucks Coffee,2968.91,Cash,Starbucks Store
2024-09-24,Transportation,Uber Ride,3388.89,Credit Card,Uber Store
2024-09-24,Healthcare,Vision Clinic Eyeglasses,5156.79,Cash,Vision Store
2024-09-25,Transportation,Uber Ride,5044.74,Cash,Uber Store
2024-09-26,Food & Dining,Bakery Snacks,2909.15,Upi / Net Banking,Bakery Store
2024-09-27,Food & Dining,Chipotle Bowl,1054.1,Credit Card,Chipotle Store
2024-09-27,Food & Dining,Hospital ER Medical Emergency,81340.0,Cash,Local Store
2024-09-28,Food & Dining,Bakery Snacks,2929.9,Upi / Net Banking,Bakery Store
2024-09-29,Food & Dining,Starbucks Coffee,2493.32,Cash,Starbucks Store
2024-09-29,Food & Dining,Starbucks Coffee,2215.27,Cash,Starbucks Store
2024-09-29,Food & Dining,Starbucks Coffee,1083.15,Debit Card,Starbucks Store
2024-09-29,Groceries,Trader Joes Groceries,10871.34,Credit Card,Trader Store
2024-09-30,Food & Dining,Subway Lunch,1751.3,Upi / Net Banking,Subway Store
2024-09-30,Food & Dining,Chipotle Bowl,878.97,Debit Card,Chipotle Store
2024-10-01,Housing & Rent,Monthly Apartment Rent,108679.37,Upi / Net Banking,Oakridge Apartments
2024-10-01,Food & Dining,Local Diner Dinner,2948.99,Debit Card,Local Store
2024-10-01,Groceries,Trader Joes Groceries,4838.07,Credit Card,Trader Store
2024-10-01,Shopping,Amazon Electronics,10717.79,Credit Card,Amazon Store
2024-10-03,Shopping,Bookstore Purchase,7538.89,Debit Card,Bookstore Store
2024-10-03,Food & Dining,Bakery Snacks,1530.52,Debit Card,Bakery Store
2024-10-03,Shopping,Bookstore Purchase,10572.54,Debit Card,Bookstore Store
2024-10-04,Transportation,City Parking Meter,2055.08,Credit Card,City Store
2024-10-04,Travel,Weekend Hotel Stay,11373.49,Credit Card,Weekend Store
2024-10-05,Healthcare,CVS Pharmacy Medicines,1832.64,Credit Card,CVS Store
2024-10-05,Entertainment,Fiber Internet & Streaming Subscription,5273.82,Credit Card,NetSpeed Telecom
2024-10-06,Food & Dining,Starbucks Coffee,3330.79,Cash,Starbucks Store
2024-10-06,Food & Dining,Subway Lunch,3627.93,Cash,Subway Store
2024-10-06,Transportation,Uber Ride,1026.71,Credit Card,Uber Store
2024-10-06,Food & Dining,Subway Lunch,2553.08,Debit Card,Subway Store
2024-10-06,Groceries,Target Groceries,12418.46,Debit Card,Target Store
2024-10-07,Groceries,Target Groceries,7186.97,Upi / Net Banking,Target Store
2024-10-07,Food & Dining,Starbucks Coffee,1092.28,Upi / Net Banking,Starbucks Store
2024-10-08,Food & Dining,Starbucks Coffee,2141.4,Debit Card,Starbucks Store
2024-10-08,Food & Dining,Bakery Snacks,2117.33,Upi / Net Banking,Bakery Store
2024-10-09,Food & Dining,Subway Lunch,1113.86,Credit Card,Subway Store
2024-10-09,Shopping,Clothing Purchase,3481.85,Debit Card,Clothing Store
2024-10-09,Food & Dining,Chipotle Bowl,3105.03,Debit Card,Chipotle Store
2024-10-09,Food & Dining,Starbucks Coffee,3176.41,Credit Card,Starbucks Store
2024-10-09,Transportation,Gas Station Refill,1935.56,Upi / Net Banking,Gas Store
2024-10-11,Groceries,Target Groceries,11615.85,Upi / Net Banking,Target Store
2024-10-11,Food & Dining,Local Diner Dinner,805.1,Credit Card,Local Store
